id,hashtags,retweet_id,user_id,user_loc,user_time_zone,user_created_at,user_desc,created_at,retweet_count,text
969961606921707520,['guncontrol'],969244597451976712,3171467604,,,Sat Apr 25 02:19:04 +0000 2015,,Sat Mar 03 15:44:02 +0000 2018,398,"b""RT @ProfDanBear: Listened to @PreetBharara pod w/ @shannonrwatts of @MomsDemand. She's one of the best voices on #guncontrol I've heard. Cl\xe2\x80\xa6"""
969961540622336006,"['GunControl', 'GunDeaths', 'GunViolence', 'GunAccidents']",,384852760,USA,Mountain Time (US & Canada),Tue Oct 04 13:00:20 +0000 2011,"A realspace girl visiting virtuality.  Activist against evil;  i am ✝#Christian, 👭💋lesbian, ♍#ENFJ, ☿ #Mercurial, #SJW 🥚🥛🌿#vegetarian, 🐎メタルうま  ٩(ˊᗜˋ*)و",Sat Mar 03 15:43:46 +0000 2018,0,"b'@Csgui1 @nowthisnews Your fallacy argument sums up like this:  why bother having laws if criminals will just break them.  The reality is that laws work very well, and if USA survives long enough to enact REAL #GunControl then #GunDeaths, #GunViolence and #GunAccidents will all decrease.'"
969961521659940864,['GunControl'],969925967597768707,751214924,,Central Time (US & Canada),Sat Aug 11 12:45:28 +0000 2012,"Liberty-loving, libertarian-leaning, Jeffersonian Constitutionalist, @COSProject, #TCOT #TLOT #TGDN #ORPUW #Trump2016 #MAGA NO DMs!
⭐https://t.co/TpxIAsFiJw⭐",Sat Mar 03 15:43:42 +0000 2018,904,"b'RT @GeorgiaDirtRoad: ""Gun laws are the only laws that affect the law abiding &amp; DO NOT affect criminals one bit."" ~@dbongino on #GunControl\xe2\x80\xa6'"
969961484859138050,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,762488659966775298,,,Mon Aug 08 03:20:37 +0000 2016,,Sat Mar 03 15:43:33 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
969961483911102464,"['Moments', 'NYTimes', 'GunLaws', 'Yemen', 'guncontrol', 'gunreform', 'NeverAgain', 'NeverAgainMSD', 'MSDStrong', 'Parkland', 'ParklandStrong', 'schoolshooting']",,2183520866,Northern California U.S.A.,Pacific Time (US & Canada),Sat Nov 09 03:45:23 +0000 2013,"tiny, old, grey, occasionally a bit cranky
I Tweet A Lot
LIST to Save Timeline",Sat Mar 03 15:43:33 +0000 2018,0,"b'\xe2\x9a\xa1\xef\xb8\x8f#Moments: #NYTimes Rpt compares basic steps to buy a gun in 15 countries\nGraph compares #GunLaws\nUS has least provisions to buy guns, 2nd to #Yemen\n#guncontrol #gunreform #NeverAgain #NeverAgainMSD #MSDStrong #Parkland #ParklandStrong #schoolshooting\nhttps://t.co/VE0LwENbGp'"
969961481843470336,"['DavidBrooks', 'civility', 'guns', 'GunControl']",,20597379,"Maryland, USA",Eastern Time (US & Canada),Wed Feb 11 15:43:10 +0000 2009,"Community activist, teacher, writer, bibliophile, Catholic ecumenist.  Unapologetic liberal. [Abu Zeina means 'Zeina's Dad']",Sat Mar 03 15:43:32 +0000 2018,0,b'#DavidBrooks has a congratulatory yet cautionary note to progressives. The cautions are worth heeding. https://t.co/6M3r3VcXoL #civility #guns #GunControl'
969961467926798337,['GunControl'],,422207050,"Chicago, IL",Eastern Time (US & Canada),Sat Nov 26 23:42:57 +0000 2011,"Terrible/widely unknown stand up comedian. I like movies. My dog thinks I'm great, but what does that idiot know?",Sat Mar 03 15:43:29 +0000 2018,0,"b'@realDonaldTrump An exerpt from the GREAT meeting:\nNRA: ""Instead of #GunControl let\'s start arming teachers and then everybody else and in the future high school is just Mexican Standoff-ing all day"" https://t.co/NaW5CiUwmK'"
969961336942731264,['guncontrol'],,40484823,"San Diego, CA",Central Time (US & Canada),Sat May 16 15:44:25 +0000 2009,"23. 🍻. A combination of Jokes, TV/Music/Film Fangirling, and things I think you should care about. DM me.",Sat Mar 03 15:42:58 +0000 2018,0,b'The only reason #guncontrol should scare you is if you know in the depth of your heart that you\xe2\x80\x99re unfit to own a gun.'
969961319154749440,"['BoycottNRA', 'GunControl', 'Resist', 'FBR', 'BlueWave2018']",,887358125275324416,,Eastern Time (US & Canada),Tue Jul 18 17:07:18 +0000 2017,"Stickman Willie is an expeditionary protest singer on the front lines of the fight for truth & justice. #TheResistance #FollowBackResistance #ImpeachTrump
🌊🌊🌊🌊",Sat Mar 03 15:42:54 +0000 2018,0,"b""ALWAYS on the SHORT BUS: If there's a dumbass policy idea out there that's sure to make any educated mind explode, you can bet the guys who flunked everything but PE are behind it #BoycottNRA #GunControl #Resist #FBR #BlueWave2018 https://t.co/3X4vcZdxOY"""
969961217912549376,"['GunControl', 'GunLaws', 'LawAbiding', 'Criminals']",969916920643416064,3824077212,"Draper, UT",,Thu Oct 08 10:06:15 +0000 2015,"""The Force Awakens"" President Trump and V. P. Pence ""Make America Great Again!""",Sat Mar 03 15:42:30 +0000 2018,239,"b'RT @ANOMALY1: \xf0\x9f\x91\x8d@dbongino on #GunControl \n\n""#GunLaws are the only laws that affect the #LawAbiding &amp; don\'t affect #Criminals one bit""#IStand\xe2\x80\xa6'"
