"","x"
"925","t_foxbusiness"
"926","t_create"
"927","t_phony"
"928","t_15"
"929","t_zones"
"930","t_vote"
"931","t_colbert"
"932","t_program"
"933","t_excellent"
"934","t_44"
"935","t_starts"
"936","t_preventing"
"937","t_sensible"
"938","t_cutting"
"939","t_tweets"
"940","t_defends"
"941","t_looking"
"942","t_working"
"943","t_dangerous"
"944","t_parklandstrong"
"945","t_falseflag"
"946","t_r"
"947","t_influence"
"948","t_parklandstudents"
"949","t_men"
"950","t_social"
"951","t_evilemilie"
"952","t_afraid"
"953","t_whatever"
"954","t_former"
"955","t_convention"
"956","t_tv"
"957","t_nraisaterroristorganization"
"958","t_word"
"959","t_20"
"960","t_allow"
"961","t_danaloesch"
"962","t_important"
"963","t_launchers"
"964","t_teacher"
"965","t_force"
"966","t_nrastrong"
"967","t_stepping"
"968","t_sick"
"969","t_murderers"
"970","t_nomore"
"971","t_newsweek"
"972","t_protests"
"973","t_lockdown"
"974","t_opposed"
"975","t_hands"
"976","t_oppose"
"977","t_guess"
"978","t_likely"
"979","t_home"
"980","t_concealed"
"981","t_criminals"
"982","t_failed"
"983","t_students"
"984","t_event"
"985","t_pressure"
"986","t_wing"
"987","t_refuse"
"988","t_reason"
"989","t_lobby"
"990","t_poor"
"991","t_became"
"992","t_spent"
"993","t_suggesting"
"994","t_actual"
"995","t_metoo"
"996","t_xe2x80x93"
"997","t_massshootings"
"998","t_membership"
"999","t_falling"
"1000","t_brilliant"
"1001","t_got"
"1002","t_drive"
"1003","t_die"
"1004","t_committed"
"1005","t_legally"
"1006","t_kkk"
"1007","t_boycottdelta"
"1008","t_asked"
"1009","t_mr"
"1010","t_cannot"
"1011","t_politician"
"1012","t_destroy"
"1013","t_rise"
"1014","t_scared"
"1015","t_cnnpolitics"
"1016","t_nowthisnews"
"1017","t_points"
"1018","t_career"
"1019","t_training"
"1020","t_constituents"
"1021","t_election"
"1022","t_rest"
"1023","t_veterans"
"1024","t_made"
"1025","t_billions"
"1026","t_wife"
"1027","t_calls"
"1028","t_lack"
"1029","t_gain"
"1030","t_size"
"1031","t_texas"
"1032","t_labor"
"1033","t_unions"
"1034","t_endorsed"
"1035","t_responds"
"1036","t_donaldtrump"
"1037","t_siege"
"1038","t_confront"
"1039","t_woman"
"1040","t_percent"
"1041","t_legal"
"1042","t_threaten"
"1043","t_boycottthenra"
"1044","t_crisis"
"1045","t_claudiatenney"
"1046","t_stopthenra"
"1047","t_prime"
"1048","t_minister"
"1049","t_schooling"
"1050","t_ends"
"1051","t_survivor"
"1052","t_fl"
"1053","t_resign"
"1054","t_strike"
"1055","t_thee"
"1056","t_furious"
"1057","t_attempt"
"1058","t_poison"
"1059","t_difference"
"1060","t_appletv"
"1061","t_freedom"
"1062","t_employee"
"1063","t_wake"
"1064","t_incredible"
"1065","t_memberships"
"1066","t_surge"
"1067","t_antinra"
"1068","t_bias"
"1069","t_iamthenra"
"1070","t_live"
"1071","t_periscope"
"1072","t_pph"
"1073","t_bnc"
"1074","t_jgf"
"1075","t_cbts"
"1076","t_closernation"
"1077","t_blog"
"1078","t_eggdrp"
"1079","t_mondaxe2x80xa6"
"1080","t_httpstcoqycwafvlgq"
